timestamp,drug_name,price_usd,vendor_id,ships_from,ships_to,product_rating,vendor_rating
1411852588397,amphetamine,109.6165434375,21,Australia,Australia,1,91
1411852588397,amphetamine,272.9885241675,12,Germany,Worldwide,2,82
1411852588398,amphetamine,104.19431724,30,Undeclared,Worldwide,2,88
1411852588398,amphetamine,520.970792955,30,Undeclared,Worldwide,1,88
1411852588398,amphetamine,625.165110195,31,China,Worldwide,3,64
1411852588399,amphetamine,151.0814427,32,Ireland,Worldwide,1,95
1411852588400,amphetamine,281.32433925000004,24,Sweden,European Union,0,81
1411852588400,amphetamine,111.4878083925,17,Netherlands,Worldwide,1,86
1411852588401,amphetamine,186.2091076575,8,United Kingdom,Worldwide,2,87
1411852588401,amphetamine,406.2743085375,8,United Kingdom,Worldwide,1,87
1411852588401,amphetamine,625.165110195,31,China,Worldwide,1,64
1411852588403,amphetamine,17.4525798675,33,United States,United States,2,91
1411852606133,amphetamine,87.262502715,33,United States,United States,2,91
1411852606135,amphetamine,88.565011005,32,Ireland,Worldwide,0,95
1411852606135,amphetamine,251.09377229999998,3,Netherlands,Worldwide,0,77
1411852606136,amphetamine,355.4899703925,8,United Kingdom,Worldwide,0,87
1411852606136,amphetamine,132.154617,26,Latvia,Worldwide,1,94
1411852606137,amphetamine,25.10937723,26,Latvia,Worldwide,1,94
1411852606139,amphetamine,833.5533480525,34,China,Worldwide,0,78
1411852606141,amphetamine,118.78129954500001,12,Germany,Worldwide,1,82
1411852606142,amphetamine,186.5073677775,12,Germany,Worldwide,1,82
1411852606142,amphetamine,416.77647571499995,31,China,Worldwide,0,64
1411852606143,amphetamine,83.3553744675,35,United States,United States,1,83
1411852606143,amphetamine,312.5825550975,31,China,Worldwide,1,64
1411852606143,amphetamine,3.303865425,36,Netherlands,Worldwide,1,85
1411852606144,amphetamine,2976.827169645,12,Germany,Worldwide,1,82
1411852606144,amphetamine,1667.106696105,31,China,Worldwide,0,64
1411852606145,amphetamine,1354.5241410075,37,China,Worldwide,1,94
1411852606145,amphetamine,17.616384959999998,29,Netherlands,Worldwide except Australia,1,94
1411852606146,amphetamine,625.165110195,15,Undeclared,Worldwide,0,79
1411852606146,amphetamine,2604.853964775,15,Undeclared,Worldwide,0,79
1411852606147,amphetamine,59.46957765,38,France,European Union,0,90
1411852606147,amphetamine,276.1147027125,32,Ireland,Worldwide,0,95
1411852606147,amphetamine,338.6311344075,15,Undeclared,Worldwide,0,79
1411852622515,amphetamine,4405.150462605,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622516,amphetamine,2517.228949095,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622517,amphetamine,314.6576840175,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622517,amphetamine,1573.2745383000001,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622518,amphetamine,330.38654249999996,28,Netherlands,Worldwide,0,85
1411852622522,amphetamine,2083.88317182,24,Sweden,European Union,0,81
1411852622522,amphetamine,1146.13590315,15,Undeclared,Worldwide,0,79
1411852622525,amphetamine,625.165110195,24,Sweden,European Union,0,81
1411852622525,amphetamine,566.37534351,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622526,amphetamine,69.222524925,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622526,amphetamine,125.86418415,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622527,amphetamine,1198.2326651475,24,Sweden,European Union,0,81
1411852622527,amphetamine,531.39006603,32,Ireland,Worldwide,0,95
1411852622528,amphetamine,10.070245275,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622528,amphetamine,881.0354072624999,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622528,amphetamine,218.807907555,15,Undeclared,Worldwide,0,79
1411852622529,amphetamine,26.4309234,28,Netherlands,Worldwide,0,85
1411852622529,amphetamine,31.4660460375,23,Netherlands,Worldwide except Australia,0,NEW VENDOR
1411852622529,amphetamine,4688.737136595,15,Undeclared,Worldwide,0,79
1411852622530,amphetamine,2013.7849044149998,39,Netherlands,Worldwide except Australia,0,91
1411852622530,amphetamine,2510.9381196225,28,Netherlands,European Union,0,85
1411852622530,amphetamine,59.46957765,28,Netherlands,Worldwide,0,85
1411852622531,amphetamine,60.04706001,9,Sweden,Sweden,0,86
1411852639259,amphetamine,323.0018281725,9,Sweden,Sweden,0,86
1411852639260,amphetamine,1252.6794154575,8,United Kingdom,Worldwide,0,87
1411852639261,amphetamine,3047.0583055875004,8,United Kingdom,Worldwide,0,87
1411852639261,amphetamine,67.7260682325,27,United States,United States,0,92
1411852639262,amphetamine,2.083854615,40,Canada,Worldwide,0,91
1411852639262,amphetamine,92.5082319,26,Undeclared,Worldwide,0,94
1411852639262,amphetamine,26.04857931,41,Canada,Worldwide,0,87
1411852639263,amphetamine,281.32433925000004,41,Canada,Worldwide,0,87
1411852639263,amphetamine,2.083854615,40,Canada,Worldwide,0,91
1411852639264,amphetamine,36.467852385,26,Poland,Worldwide,0,94
1411852639264,amphetamine,3769.843715085,5,Germany,Worldwide except Australia,0,94
1411852639264,amphetamine,96.5668699425,42,Australia,Australia,0,91
1411852639265,amphetamine,520.970792955,43,China,Worldwide,0,NEW VENDOR
1411852639265,amphetamine,1458.718061625,31,China,Worldwide,0,64
1411852639266,amphetamine,1458.718061625,44,China,Worldwide except Australia,0,95
1411852639266,amphetamine,1826.9435804925,21,Australia,Australia,0,91
